Word	FREQ
the	46690
of	24986
and	18239
a	13345
in	12717
to	12389
is	7530
that	6452
it	5819
with	4826
on	4788
he	4417
his	4244
as	4175
by	4043
which	3719
for	3653
be	3586
from	3347
at	3261
i	3241
are	3094
was	3052
you	2828
this	2822
or	2555
not	2391
they	2295
all	2113
have	2052
will	2047
but	1928
their	1760
her	1742
an	1646
we	1599
one	1583
if	1570
its	1566
there	1545
when	1443
so	1396
	1319
him	1314
has	1255
had	1190
out	1182
what	1150
no	1126
like	1113
she	1101
up	1088
were	1075
than	1058
them	1003
more	1002
may	994
other	993
my	983
these	982
some	957
into	939
would	907
then	897
two	891
see	877
light	868
who	848
your	842
about	837
me	825
very	811
been	810
must	770
those	763
same	750
any	733
can	713
where	707
do	706
mr	701
first	694
great	670
only	670
between	669
man	663
our	654
said	634
because	633
no.	629
through	619
after	617
over	603
[footnote:	577
such	576
down	571
old	562
how	561
make	533
most	531
many	529
made	522
much	522
time	517
seen	515
being	510
eye	507
says	501
little	487
now	485
said.	485
here	483
way	481
could	477
each	469
body	464
every	453
it.	453
under	450
did	446
water	445
bloom	443
part	439
should	437
off	434
good	432
long	427
shadow	420
know	414
never	405
us	401
side	394
sun	393
round	391
say	391
without	385
too	376
always	374
before	374
come	374
back	373
di	364
leonardo	359
pl.	359
let	358
towards	358
also	357
give	352
hand	351
go	348
just	344
does	340
three	339
de	336
put	332
look	330
new	329
place	328
take	326
get	325
lines	323
small	323
well	323
left	319
stephen	318
above	317
against	307
given	306
thing	305
it,	303
life	303
might	299
upon	298
object	297
own	296
even	295
eyes	295
men	292
head	290
young	290
day	289
said,	288
still	286
work	286
earth	285
bloom:	284
another	279
j.	279
right	279
[footnote	278
though	278
sea	277
far	272
various	272
last	271
objects	271
form	270
large	269
cannot	268
dark	268
point	266
found	264
among	263
half	263
nature	263
line	262
while	261
came	259
equal	259
less	258
air	257
find	257
whole	256
having	254
going	253
surface	251
thus	250
white	250
why	249
high	247
things	245
himself	243
distance	241
2	240
near	238
again	237
animals	236
face	236
father	236
[illustration:	235
away	233
years	231
different	230
second	230
4	229
e	227
written	226
_a	224
book	224
project	221
and,	220
both	220
proportion	216
called	214
went	214
certain	213
four	213
him.	213
something	213
name	212
course	211
itself	211
placed	210
till	208
times	208
got	207
red	207
shall	207
ever	206
them.	206
means	205
often	204
night	201
black	197
mrs	197
original	196
seems	196
want	196
end	195
o	195
since	195
human	193
john	193
number	193
full	192
_(he	191
few	191
tell	191
appear	190
poor	190
turned	190
took	188
am	187
la	185
p.	184
shadows	183
leonardo's	181
show	180
nor	179
nothing	177
drawing	176
moon	176
quite	176
size	176
perhaps	175
1	174
once	174
s.	174
saw	174
kind	173
rays	172
text	172
used	171
don't	170
within	170
3	169
better	169
open	168
world	168
colour	167
professor	167
think	167
lower	166
matter	166
passage	166
case	165
reason	165
behind	164
gave	164
him,	163
figure	162
me.	161
big	159
along	158
middle	158
natural	157
them,	157
fall	156
living	155
almost	154
told	153
is,	152
miles	152
note	152
street	152
use	152
below	151
best	151
larger	151
luminous	151
others	151
parts	151
s	151
call	150
space	150
da	149
foot	149
known	148
power	148
compare	146
centre	145
general	145
whether	145
you,	145
animal	144
god	144
hands	144
beyond	143
makes	143
waters	143
bodies	142
ms.	142
that,	142
looking	141
opposite	141
green	140
house	140
il	140
it's	140
order	140
sketch	140
top	140
yet	140
lord	139
trees	139
voice	139
woman	139
together	137
|	136
read	136
seem	136
cast	135
love	135
mind	135
mouth	135
per	135
colours	134
dead	134
word	134
bit	133
blue	133
cause	133
energy	133
light,	133
set	133
true	133
beginning	132
brought	132
evolution	132
rather	132
...	131
fact	131
miss	131
portion	131
smaller	131
which,	131
--i	130
therefore	130
works	130
become	129
forms	129
shown	129
taken	129
that's	129
waves	129
fine	128
i'm	128
themselves	128
turn	128
wall	128
year	128
suppose	127
weight	127
you.	127
done	126
five	126
making	126
notes	126
thought	126
land	125
next	125
several	125
words	125
che	124
he's	124
leaves	124
coming	123
del	123
greater	123
me,	123
upper	123
probably	122
heard	121
images	120
lost	120
atmosphere	118
hat	118
ten	118
_the	117
braccia	117
close	117
front	117
goes	117
illuminated	117
man,	117
water,	117
dedalus	116
earth,	116
keep	116
pass	116
that.	116
(of	115
mulligan	115
past	115
derived	114
following	114
gutenberg-tm	114
simple	114
comes	113
image	113
o,	113
sea,	113
short	113
buck	112
looked	112
time,	112
time.	112
too.	112
sir	111
third	111
again,	110
passed	110
et	109
height	109
higher	109
present	109
hear	108
now.	108
ought	108
paper	108
sun,	108
there.	108
feet	107
letter	107
page	107
picture	107
already	106
common	106
hair	106
home	106
horse	106
i.	106
light.	106
water.	106
gives	105
least	105
length	105
modern	105
possible	105
shade	105
began	104
bloody	104
during	104
feel	104
sometimes	104
wife	104
base	103
birds	103
falls	103
le	103
mother	103
rest	103
